Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Humanity,https://www.crunchbase.com/organization/humanity-6c39,"Health Care, Medical, mHealth, Personal Health, Wellness","Boston, Massachusetts, United States",Humanity is a healthcare company that aims to extend the healthspan of humanity.,"72,756",3,2500000,USD,2500000,5000000,USD,5000000
Qikwell Technologies,https://www.crunchbase.com/organization/qikwell-technologies,"Health Care, Information Technology, mHealth, Telecommunications","Bangalore, Karnataka, India",Qikwell is a startup focused on helping people be healthy and feel well,"73,297",2,3000000,USD,3000000,3000000,USD,3000000
Lifeguard Health Networks,https://www.crunchbase.com/organization/lifeguard-health-networks,"Health Care, Information Technology, mHealth, Mobile","Wayne, Pennsylvania, United States",The Next Generation in Mobile Health and Remote Care Coordination,"73,535",2,550000,USD,550000,2650000,USD,2650000
SocialWellth,https://www.crunchbase.com/organization/socialwellth,"Big Data, Fitness, Health Care, mHealth","Las Vegas, Nevada, United States",SocialWellth is a digital health enablement company delivering Experience as a Service to healthcare stakeholders.,"74,570",1,7500000,USD,7500000,7500000,USD,7500000
Himuka AM Pharma,https://www.crunchbase.com/organization/himuka-am-pharma,"Health Care, Medical Device, mHealth","Tokyo, Tokyo, Japan",Himuka AM Pharmais a pharmaceutical company.,"75,518",3,,,,5508104,USD,5508104
Omegawave,https://www.crunchbase.com/organization/omegawave,"Fitness, Health Care, mHealth, Mobile","Espoo, Southern Finland, Finland",Omegawave is the world's first health and sports performance optimizer – scientifically proven and patented technology.,"78,602",3,1600000,EUR,2085630,4200000,EUR,5547860
OBMedical,https://www.crunchbase.com/organization/obmedical,"Biotechnology, Consumer Electronics, Health Care, mHealth, Wearables","Newberry, Florida, United States",OBMedical Company is a medical device company monitoring system now on the market for hospital use.,"78,791",10,842162,USD,842162,10467855,USD,10467855
MedLever,https://www.crunchbase.com/organization/medlever,"Health Care, mHealth, Software","Mountain View, California, United States",MedLever builds the market defining workforce and workflow automation solution for in-clinic use in cancer care.,"78,848",2,2500000,USD,2500000,5000000,USD,5000000
"Now Healthcare Group (Now GP, Now Patient and Dr Now)",https://www.crunchbase.com/organization/now-healthcare-group,"Health Care, Hospital, mHealth, Wellness","Manchester, Manchester, United Kingdom",Now Healthcare Group is the world’s premier telehealth and medicine fulfillment organisation.,"79,127",2,4000000,GBP,5092271,5092272,USD,5092272
Betterpath,https://www.crunchbase.com/organization/betterpath-inc,"Big Data, Data Integration, Data Mining, Health Care, mHealth, Personal Health","Brooklyn, New York, United States",Betterpath’s fundamental goal is to unlock the value of complete health data.,"81,631",5,19152,USD,19152,8758802,USD,8758802
MIOS Health,https://www.crunchbase.com/organization/mios-health,"Health Care, Medical, mHealth","Charlotte, North Carolina, United States",MIOS Health provides a digital guidance platform designed to provide a scientifically backed approach to Alzheimer's.,"83,919",1,3000000,USD,3000000,3000000,USD,3000000
Patient IO,https://www.crunchbase.com/organization/filament-labs,"Big Data, Enterprise Software, Health Care, mHealth, Software","Austin, Texas, United States","Filament Labs is a Techstars Austin ’13 company, building PatientIO, a patient engagement platform.","85,872",5,3316751,USD,3316751,4471751,USD,4471751
H2U Corp.,https://www.crunchbase.com/organization/health-to-u,"Health Care, mHealth, Personal Health","Taipei, T'ai-pei, Taiwan",Transform personal health ecosystem with connected healthcare technology to enable data-driven decisions for personal health and well-being,"86,070",1,8000000,USD,8000000,8000000,USD,8000000
Huakang Mobile Health,https://www.crunchbase.com/organization/huakang-mobile-health,"Health Care, Internet, mHealth, Mobile","Shenzhen, Guangdong, China",Huakang Mobile Health is a Shenzhen-based mobile service company,"88,907",2,32000000,USD,32000000,35254381,USD,35254381
Uplift Labs,https://www.crunchbase.com/organization/uplift,"Fitness, Health Care, mHealth, Sports, Training, Wellness","Palo Alto, California, United States",Uplift Labs digitizes human movement to improve athletic performance while mitigating injuries for in-person and live remote training.,"89,055",2,3000000,USD,3000000,6000000,USD,6000000
Pharos Innovations,https://www.crunchbase.com/organization/pharos-innovations,"Health Care, Information Technology, Medical, mHealth","Des Plaines, Illinois, United States",Pharos Innovations help healthcare providers succeed with value-based contracts using patient engagement solutions.,"89,842",5,647000,USD,647000,7070545,USD,7070545
Antrad Medical,https://www.crunchbase.com/organization/antrad-medical,"Health Care, Medical, mHealth","Kista, Stockholms Lan, Sweden",Antrad Medical is a life science company that develops medical devices for thawing and warming of blood plasma.,"90,598",2,20000000,SEK,2351901,27250000,SEK,3490579
Umoove,https://www.crunchbase.com/organization/umoove,"Augmented Reality, Computer, iOS, mHealth, Software, Virtual Reality","Jerusalem, Yerushalayim, Israel",Face and eye-tracking for mobile,"92,399",4,,,,2500000,USD,2500000
Televero Health,https://www.crunchbase.com/organization/televero,"Enterprise Software, Health Care, Home Health Care, mHealth, Software","Austin, Texas, United States",Televero Health is a care management platform for Medicare and complex chronic populations with on-demand telehealth capabilities. ,"92,719",6,,,,2987405,USD,2987405
"LifeMap Solutions, Inc.",https://www.crunchbase.com/organization/lifemap-solutions-inc,"Big Data, Health Care, mHealth","San Jose, California, United States",LifeMap Solutions offers digital health solutions that enable care teams and patients to achieve better health outcomes at lower costs.,"93,032",1,5000000,USD,5000000,5000000,USD,5000000
IngagePatient,https://www.crunchbase.com/organization/ingagepatient,"Health Care, Information Technology, mHealth","Franklin, Tennessee, United States",RegisterPatient received venture funding and hired an executive management team with Healthcare IT expertise in 2013,"97,615",3,3666876,USD,3666876,8516875,USD,8516875
Femeda,https://www.crunchbase.com/organization/femeda,"Medical, Medical Device, mHealth","London, England, United Kingdom",Medical devices for the alleviation of female urinary incontinence.,"98,397",6,208000,USD,208000,9330762,USD,9330762
Guardly,https://www.crunchbase.com/organization/guardly,"Enterprise Software, mHealth, Mobile, Security","Toronto, Ontario, Canada","Guardly offers a mobile infrastructure and service for public safety at schools, mass transit, municipalities, healthcare and corporations.","98,654",3,1450000,USD,1450000,2596561,USD,2596561
United Way of Central Alabama,https://www.crunchbase.com/organization/united-way-of-central-alabama,"Education, mHealth, Non Profit","Birmingham, Alabama, United States",United Way of Central Alabama facilitates counties by building and mobilizing resources to improve lives and community conditions.,"106,300",1,37900000,USD,37900000,37900000,USD,37900000
Phenomune,https://www.crunchbase.com/organization/phenomune,"Health Care, mHealth, Wellness",,Phenomune engages in bringing general wellness to people all over the world.,"110,718",1,3300000,USD,3300000,3300000,USD,3300000
Annum Health,https://www.crunchbase.com/organization/annum-health,"Health Care, Medical, mHealth","New York, New York, United States","Annum is a confidential, tech-enabled program designed to help people cut back on drinking and treat related issues.","118,999",3,1000003,USD,1000003,6400003,USD,6400003
Nire iHealth,https://www.crunchbase.com/organization/nire-ihealth,"Health Care, mHealth","Bilbao, Pais Vasco, Spain","Nire iHealth is an online platform that offers personalized solutions for treatment control, nutrition, and emotions and physical activity.","120,611",2,,,,3845937,USD,3845937
Healarium,https://www.crunchbase.com/organization/healarium,"Health Care, mHealth, Mobile","Irving, Texas, United States",Healarium is a health technology company.,"141,753",3,,,,3400000,USD,3400000
Trilogy Health Services,https://www.crunchbase.com/organization/trilogy-health-services,"Health Care, mHealth, Nursing and Residential Care, Residential","Louisville, Kentucky, United States",Trilogy Health Services provides assisted living and skilled nursing services.,"164,271",1,26000000,USD,26000000,26000000,USD,26000000
Hey Let’s Train,https://www.crunchbase.com/organization/hey-let-s-train-2,"Fitness, mHealth, Personal Health","St Louis, Missouri, United States",Hey Lets Train provides a fan engagement platform to access professional athletes and their training regimens.,"169,227",2,2700000,USD,2700000,2740000,USD,2740000
Enli Health Intelligence Corp.,https://www.crunchbase.com/organization/kryptiq,"Health Care, mHealth, Software","Beaverton, Oregon, United States",Enli Health provides interoperability and workflow connectivity solutions for the healthcare sector.,"203,457",4,8000000,USD,8000000,29570000,USD,29570000
LiveProcess Corp.,https://www.crunchbase.com/organization/liveprocess-corp,"Health Care, mHealth, Software","Verona, New Jersey, United States",LiveProcess provides a patented web-based platform for emergency management professionals at hospitals and healthcare facilities.,"260,276",2,1616176,USD,1616176,5236176,USD,5236176
3Nod,https://www.crunchbase.com/organization/three-nod-group,"Enterprise Software, Health Care, mHealth","Shenzhen, Guangdong, China",Three Nod Group focuses on improving the quality of people’s life through innovations in science and technology.,"349,948",1,5300000,USD,5300000,5300000,USD,5300000
TranS1,https://www.crunchbase.com/organization/trans1,"Biotechnology, Health Care, Life Science, Manufacturing, Medical Device, mHealth","Denver, Colorado, United States",TranS1 develops a portfolio of medical products and intellectual property in the area of advanced surgical medicine.,"370,270",1,12000000,USD,12000000,12000000,USD,12000000
EngagedMedia,https://www.crunchbase.com/organization/engagedmedia,"Biotechnology, Digital Marketing, Health Care, Medical, mHealth","Atlanta, Georgia, United States",EngagedMedia provides a mobile-first messaging platform that enables life sciences companies to communicate and engage with patients.,"370,926",1,3400000,USD,3400000,3400000,USD,3400000
A4 Health Systems,https://www.crunchbase.com/organization/a4-health-systems,"Electronic Health Record (EHR), Health Care, Medical, mHealth","Cary, North Carolina, United States",A leading provider of Electronic Health Record (EHR) solutions,"440,536",1,25000000,USD,25000000,25000000,USD,25000000
iPractice Group,https://www.crunchbase.com/organization/ipractice-group,"Biotechnology, Health Care, Medical, mHealth","Nashville, Tennessee, United States",iPractice Group provides IT services for independent medical practices and delivers solutions for integrating e-health records and PMSs.,"519,448",2,2290000,USD,2290000,2517000,USD,2517000
Satiety,https://www.crunchbase.com/organization/satiety,"Health Care, Medical Device, mHealth","Palo Alto, California, United States",Satiety is a medical device company focused on the development of less invasive devices for the treatment of obesity.,"565,821",4,25300000,USD,25300000,71050000,USD,71050000
DOCUSYS,https://www.crunchbase.com/organization/docusys,"Health Care, Medical, mHealth, Software","Atlanta, Georgia, United States","As per the transaction announced on November 12, 2010, DocuSys, Inc. was acquired by Merge Healthcare Incorporated. DocuSys, Inc.","575,507",1,8839821,USD,8839821,8839821,USD,8839821
eMedSoft,https://www.crunchbase.com/organization/emedsoft,"Health Care, Internet, mHealth","Florida, New York, United States","At eMedSoft.Com, Inc., we are dedicated to providing Healthcare Practitioners of all specialties and all size locations.","672,166",1,60000000,USD,60000000,60000000,USD,60000000
Conceptus,https://www.crunchbase.com/organization/conceptus,"Health Care, Medical Device, mHealth","Milpitas, California, United States","Conceptus is an American company that designs, develops, and markets minimally-invasive devices for reproductive medical applications.","917,613",2,23000000,USD,23000000,23000000,USD,23000000
Awarix,https://www.crunchbase.com/organization/awarix,"Health Care, Information Technology, mHealth, Software","Birmingham, Alabama, United States",Awarix develops software and online tools for the health care industry.,"1,137,430",1,3000000,USD,3000000,3000000,USD,3000000
